정답,연도,월,번호,단원,유형,서술형
2,2009,3,40,2009-03-40,[순서],■ positive에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ negative에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,3,41,2009-03-41,[제목],■ friendship에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ influence에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,3,42,2009-03-42,[제목],■ environmental change에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ depends on us에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,3,43,2009-03-43,[심경분위기],■ 이 글에서 분위기에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,3,44,2009-03-44,[문장넣기],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
4,2009,3,45,2009-03-45,[요약문완성],■ many choice에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ add to the global warming gases에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,3,46,2009-03-46,[장문3],■ (A)에서 Don의 생각과 그에 따른 행동방식에 대해서 설명하세요.\r\n■ (B)에서 친구가 필자에게 들려준 것은 무엇인가? 그것에 대한 필자의 반응은?\r\n■ (C)에서 Don의 생활 방식은 어떠하였는가?\r\n■ (D)에서 필자가 Don에 관하여 들은 소식은 무엇인가?
5,2009,3,47,2009-03-47,[장문3],
2,2009,3,48,2009-03-48,[장문3],
1,2009,3,49,2009-03-49,[장문2],■ 첫 번째 단락에서 Mark에게 발생한 일에 해당하는 어구에 모두 밑줄 표시하세요.\r\n■ Susan이 한 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 글쓴이가 한 행동에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,3,50,2009-03-50,[장문2],
5,2009,6,18,2009-06-18,[지칭추론],■ 이것을 할 때 생각해야 할 점에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,6,19,2009-06-19,[지칭추론],■ They[Them]가 될 수 있는 첫 번째 명사에 동그라미 표시하시고 They의 특징에 대한 어구에 모두 빨간색 표시하세요.\r\n■ They[Them]가 될 수 있는 두 번째 명사에 세모 표시하시고 They의 특징에 대한 어구에 모두 파란색 표시하세요.
1,2009,6,20,2009-06-20,[목적],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
4,2009,6,21,2009-06-21,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 정답을 고르세요.\r\n■ worry에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ hope에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,6,22,2009-06-22,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 틀린 것은 올바르게 고치세요.\r\n■ 뮤지컬 Rent의 업적에 해당하는 어구에 모두 밑줄 표시하세요.\r\n■ Rent가 인기 있는 이유에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ 공연 초반 발생한 상황에 해당하는 어구에 모두 빨간색 표시하세요.
4,2009,6,23,2009-06-23,[무관한문장],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
2,2009,6,24,2009-06-24,[빈칸],"■ 이 글의 핵심어에 동그라미 하시고, 핵심어의 정의에 밑줄 표시하세요.\r\n■ 핵심어를 하는 첫 번째 이유에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 핵심어를 하는 두 번째 이유에 해당하는 어구에 모두 파란색 표시하세요."
3,2009,6,25,2009-06-25,[빈칸],■ worker의 특징에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ labor에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ receive에 해당하는 어구에 모두 밑줄 표시하세요.
1,2009,6,26,2009-06-26,[빈칸],■ 주제를 뒷받침하기 위해 행한 실험의 조건에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ how money is spent에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,6,27,2009-06-27,[빈칸],■ Keeping portion sizes에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ manage your calorie intake에 해당하는 어구에 모두 파란색 표시하세요.
1,2009,6,28,2009-06-28,[어휘],■ see something happen in a dream에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ experience the same thing later in real life에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,6,29,2009-06-29,[그림],■ 도표에서 맞지 않는 번호를 올바로 고치세요.
4,2009,6,30,2009-06-30,[심경분위기],■ 이 글에서 필자의 심경에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,6,31,2009-06-31,[연결사],■ Families who eat together에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Families who eat together의 장점에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,6,32,2009-06-32,[주제],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어에 대한 부모님의 생각에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 핵심어에 대한 아이들의 생각에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,6,33,2009-06-33,[주제],■ fad diet sweeps the country에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,6,34,2009-06-34,[주장],■ filled with responsibilities에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ allow yourself to be bored에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,6,35,2009-06-35,[도표],■ 도표의 내용과 일치하지 않는 문장을 올바로 고치세요.
5,2009,6,36,2009-06-36,[일치불일치],■ 각 문항에 대한 것을 본문에 모두 밑줄 표시하시고 일치하지 않는 내용은 올바르게 고치세요.
4,2009,6,37,2009-06-37,[일치불일치],■ 각 문항에 대한 것을 본문에 모두 밑줄 표시하시고 일치하지 않는 내용은 올바르게 고치세요.
1,2009,6,38,2009-06-38,[요지],■ sense of logic에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ appealing to the reader’s emotions에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,6,39,2009-06-39,[요지],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
5,2009,6,40,2009-06-40,[순서],"■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""할 수 있는 일""에 해당하는 어구에 모두 파란색 표시하세요."
3,2009,6,41,2009-06-41,[제목],■ typical valentine shape에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ shape and size of a fist에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,6,42,2009-06-42,[제목],■ climate change에 해당하는 어구에 모두 밑줄 표시하세요.\r\n■ serious impact에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ advantages에 해당하는 어구에 모두 빨간색 표시하세요.
3,2009,6,43,2009-06-43,[심경분위기],■ 초반 분위기에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 후반 분위기에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,6,44,2009-06-44,[문장넣기],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ first taboo에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ second taboo에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,6,45,2009-06-45,[요약문완성],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어의 정의 및 원인에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 핵심어의 효과에 해당하는 어구에 모두 파란색 표시하세요.
1,2009,6,46,2009-06-46,[장문3],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ 글쓴이가 bum에게 가진 선입견에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 글쓴이가 깨달은 점에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,6,47,2009-06-47,[장문3],
3,2009,6,48,2009-06-48,[장문3],
3,2009,6,49,2009-06-49,[장문2],■ knowledge에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ knowledge와 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,6,50,2009-06-50,[장문2],
4,2009,9,18,2009-09-18,[지칭추론],■ This의 특징에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,9,19,2009-09-19,[지칭추론],■ Mr. Gibson의 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ David의 행동에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,9,20,2009-09-20,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 틀린 것은 올바르게 고치세요.\r\n■ Paul에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,9,21,2009-09-21,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 정답을 고르세요.\r\n■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어의 구성 및 특징에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,9,22,2009-09-22,[무관한문장],■ They의 생각에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 글쓴이의 생각에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,9,23,2009-09-23,[빈칸],■ women에게 발생한 일에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ women의 주장에 해당하는 어구에 모두 빨간색 표시하세요.
2,2009,9,24,2009-09-24,[빈칸],■ radio listeners의 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Orson Welles가 한일에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,9,25,2009-09-25,[빈칸],■ mountain chain is being destroyed에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,9,26,2009-09-26,[빈칸],■ see the world as a fixed amount of energy에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,9,27,2009-09-27,[빈칸],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어의 정의 및 쓰임에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 핵심어의 장점에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,9,28,2009-09-28,[어휘],■ Please assist the police에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,9,29,2009-09-29,[심경분위기],■ I의 심경에 해당하는 어구에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,9,30,2009-09-30,[도표],■ 정답을 고르시고 올바른 어휘로 고치세요.(1점)
1,2009,9,31,2009-09-31,[연결사],■ not an easy language to spell에 해당하는 어구에 모두 파란색 표시하세요.
1,2009,9,32,2009-09-32,[주제],■ People from warmer regions에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ extremely cold climates에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,9,33,2009-09-33,[주제],"■ 이 글의 핵심어에 동그라미 표시하시고, without ever knowing에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ without ever knowing의 결과에 해당하는 어구에 모두 파란색 표시하세요."
4,2009,9,34,2009-09-34,[주장],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
5,2009,9,35,2009-09-35,[도표],■ 이 문제의 정답을 고르고 올바르게 고치세요. (1점)
4,2009,9,36,2009-09-36,[일치불일치],■ 이 문제의 정답을 고르고 근거가 되는 문장에 밑줄 치세요. (1점)
5,2009,9,37,2009-09-37,[일치불일치],"■ 이 문제의 정답을 고르고 근거가 되는 문장에 밑줄 치시고, 올바르게 정답을 고치세요. (1점)"
3,2009,9,38,2009-09-38,[요지],■ Reading에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Online reading에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,9,39,2009-09-39,[요지],■ recognizing faces they’ve seen before에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ faces come from unfamiliar races에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,9,40,2009-09-40,[문장넣기],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어의 장점에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 핵심어의 단점에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,9,41,2009-09-41,[제목],■ doctors에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ patients에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,9,42,2009-09-42,[제목],■ Dinosaurs in movies에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Dinosaurs의 진실에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ The idea of fire­-breathing dinosaurs의 이유에 해당하는 어구에 모두 밑줄 표시하세요.
4,2009,9,43,2009-09-43,[목적],■ inexpensive ways to release your inner Cupid에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,9,44,2009-09-44,[순서],■ Joel Cracraft가 첫 번째로 알아낸 사실에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Joel Cracraft가 두 번째로 알아낸 사실에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,9,45,2009-09-45,[요약문완성],■ proper mental exercise에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ proper mental exercise의 반대개념에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,9,46,2009-09-46,[장문3],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ Susan의 행동 및 생각에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 글쓴이의 행동 및 생각에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,9,47,2009-09-47,[장문3],
3,2009,9,48,2009-09-48,[장문3],
3,2009,9,49,2009-09-49,[장문2],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어에 대해서 what should happen에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 핵심어에 대해서 What actually occurs에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,9,50,2009-09-50,[장문2],
1,2009,11,18,2009-11-18,[지칭추론],■ They의 특징에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,11,19,2009-11-19,[지칭추론],■ Helen의 행동 및 생각에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Ms. Sullivan의 행동 및 생각에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,11,20,2009-11-20,[목적],■ 이 글을 쓴 배경에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 이 글을 쓴 목적에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,11,21,2009-11-21,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 정답을 고르세요.\r\n■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ define quite differently에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ define quite differently와 반대개념에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,11,22,2009-11-22,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 틀린 것은 올바르게 고치세요.\r\n■ I의 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ young women에게 발생한 일에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,11,23,2009-11-23,[무관한문장],"■ 이 글의 핵심어 및 비슷한 의미의 어구에 동그라미 표시하세요.\r\n■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
4,2009,11,24,2009-11-24,[빈칸],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ not always been so universally available에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,11,25,2009-11-25,[빈칸],■ Writers의 특징에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ Writer의 행동에 대한 우리의 대응에 해당하는 어구에 모두 파란색 표시하세요.
3,2009,11,26,2009-11-26,[빈칸],■ uncertainties of life에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 글쓴이의 주장에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,11,27,2009-11-27,[빈칸],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
3,2009,11,28,2009-11-28,[어휘],■ Winning the lottery에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ doesn’t always make you happy에 해당하는 어구에 모두 빨간색 표시하세요.
2,2009,11,29,2009-11-29,[그림],■ 낱말의 쓰임이 적절하지 않은 곳을 적절하게 수정하시오.
3,2009,11,30,2009-11-30,[심경분위기],■ 초반 소방대원의 심경에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 후반 소방대원의 심경에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,11,31,2009-11-31,[연결사],"■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
3,2009,11,32,2009-11-32,[주장],■ 글쓴이가 제기한 문제에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 글쓴이의 주장에 해당하는 어구에 모두 파란색 표시하세요.
1,2009,11,33,2009-11-33,[주제],■ Nannies에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ highly-educated nannies에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,11,34,2009-11-34,[주제],■ stress에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ various response에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,11,35,2009-11-35,[심경분위기],■ 장소의 분위기에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,11,36,2009-11-36,[도표],"■ 도표의 내용과 일치하지 않는 문장을 고르고, 올바르게 고치시오."
3,2009,11,37,2009-11-37,[일치불일치],■ 위 글의 내용과 일치하는 문장을 찾아 밑줄 표시 하시오.
2,2009,11,38,2009-11-38,[일치불일치],■ 위 글의 내용과 일치하지 않는 문장을 찾아서 바르게 고치시오.
5,2009,11,39,2009-11-39,[요지],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어의 원인에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ feelings of hunger에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,11,40,2009-11-40,[요지],■ dealing with the external fruit에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ dealing with the external fruit 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,11,41,2009-11-41,[순서],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ 이 글의 상황에 해당하는 어구에 모두 밑줄 표시하세요.\r\n■ Serena의 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 이 글의 교훈에 해당하는 어구에 모두 파란색 표시하세요.
5,2009,11,42,2009-11-42,[제목],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
3,2009,11,43,2009-11-43,[제목],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
4,2009,11,44,2009-11-44,[문장넣기],■ man who does no reading에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ man who does reading에 해당하는 어구에 모두 파란색 표시하세요.
1,2009,11,45,2009-11-45,[요약문완성],■ good mood에 해당하는 어구에 빨간색 표시하세요.\r\n■ bad mood에 해당하는 어구에 모두 파란색 표시하세요.
4,2009,11,46,2009-11-46,[장문3],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ Ms. Angela의 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ I의 행동에 해당하는 어구에 모두 파란색 표시하세요.
2,2009,11,47,2009-11-47,[장문3],
1,2009,11,48,2009-11-48,[장문3],
3,2009,11,49,2009-11-49,[장문2],■ wife의 생각 및 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 친구의 생각 및 행동에 해당하는 어구에 모두 파란색 표시하세요.
1,2009,11,50,2009-11-50,[장문2],
3,2010,3,18,2010-03-18,[지칭추론],■ This의 특징에 해당하는 어구에 모두 파란색 표시하세요.
4,2010,3,19,2010-03-19,[지칭추론],■ Kent의 행동에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ worker의 행동 및 생각에 해당하는 어구에 모두 파란색 표시하세요.
3,2010,3,20,2010-03-20,[목적],■ 이 글을 쓴 배경에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 이 글을 쓴 목적에 해당하는 어구에 모두 파란색 표시하세요.
1,2010,3,21,2010-03-21,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 정답을 고르세요.\r\n■ different에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ similar에 해당하는 어구에 모두 파란색 표시하세요.
4,2010,3,22,2010-03-22,[어법],■ 각 항목에 대한 문법적 출제 의도를 말하시고 틀린 것은 올바르게 고치세요.\r\n■ I의 행동 및 느낌에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ My son의 행동 및 느낌에 해당하는 어구에 모두 파란색 표시하세요.
4,2010,3,23,2010-03-23,[무관한문장],■ reading books in poor light에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 문제의 해결책에 해당하는 어구에 모두 파란색 표시하세요.
5,2010,3,24,2010-03-24,[빈칸],■ kids who watch a lot of TV에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ commercials on TV에 해당하는 어구에 모두 파란색 표시하세요.
1,2010,3,25,2010-03-25,[빈칸],■ 이 글의 배경에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ A daily record book에 해당하는 어구에 모두 파란색 표시하세요.
5,2010,3,26,2010-03-26,[빈칸],■ speaks well before a group에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ speaks well before a group과 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
2,2010,3,27,2010-03-27,[빈칸],■ 위 글에서 ‘carpenter’에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 위 글에서 ‘young people’에 해당하는 어구에 모두 파란색 표시하세요.
2,2010,3,28,2010-03-28,[빈칸],■ 위 글에서 ‘rich color’에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 위 글에서 ‘sweet sound’에 해당하는 어구에 모두 파란색 표시하세요.
4,2010,3,29,2010-03-29,[심경분위기],■ 위 글의 상황에 나타난 분위기에 해당하는 어구에 모두 파란색 표시하세요.
3,2010,3,30,2010-03-30,[그림],"■ 위 문제에서 틀린 문항번호를 선택하고, 올바르게 고치시오."
1,2010,3,31,2010-03-31,[어휘],■ prevention technique에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ prevention technique의 구체적인 방법에 해당하는 어구에 모두 파란색 표시하세요.
1,2010,3,32,2010-03-32,[연결사],■ 사람들이 잘못 알고 있는 통념에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 글쓴이의 주장에 해당하는 어구에 모두 파란색 표시하세요.
3,2010,3,33,2010-03-33,[주제],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어를 할 때 해야 할 것에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 핵심어를 할 때 하지 말아야 할 것에 해당하는 어구에 모두 파란색 표시하세요.
1,2010,3,34,2010-03-34,[주제],■ 수집하는 행위에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 수집하는 행위의 효과/결과에 해당하는 어구에 모두 파란색 표시하세요.
4,2010,3,35,2010-03-35,[도표],"■ 위 문제에서 틀린 문항을 고르고, 올바르게 고쳐 쓰시오."
3,2010,3,36,2010-03-36,[일치불일치],■ 위 문제의 보기 중 일치하지 않는 항목을 바르게 고쳐 쓰시오.
2,2010,3,37,2010-03-37,[일치불일치],■ 보기의 내용을 본문에 모두 번호 표시하시고 일치 하지 않는 내용은 올바르게 고치세요.
5,2010,3,38,2010-03-38,[요지],■ living outside the box에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ living outside the box의 반대 개념에 해당하는 어구에 모두 파란색 표시하세요.
5,2010,3,39,2010-03-39,[요지],■ create confusion에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ give help and advice where they're not wanted에 해당하는 어구에 모두 파란색 표시하세요.
4,2010,3,40,2010-03-40,[문장넣기],■ 당신이 하는일에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 학생들이 하는일에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ students의 반응에 해당하는 어구에 모두 밑줄 표시하세요.
4,2010,3,41,2010-03-41,[제목],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
5,2010,3,42,2010-03-42,[제목],■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어의 역할에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ 핵심어가 역할을 하게 된 기원에 해당하는 어구에 모두 파란색 표시하세요.
1,2010,3,43,2010-03-43,[순서],■ 이 글에서 앞 문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞 문장의 무엇을 나타내는지 쓰세요.\r\n■ 이 글의 핵심어에 동그라미 표시하세요.\r\n■ 핵심어의 장점에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ 핵심어의 단점에 해당하는 어구에 모두 빨간색 표시하세요.
3,2010,3,44,2010-03-44,[주장],"■ ""문제점""에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ ""해결책"" 및 ""효과""에 해당하는 어구에 모두 파란색 표시하세요."
5,2010,3,45,2010-03-45,[요약문완성],■ container의 크기에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ freshness에 해당하는 어구에 모두 파란색 표시하세요.
5,2010,3,46,2010-03-46,[장문3],■ 앞문장과의 연결고리가 될 수 있는 연결사를 찾아 세모표시하시고 대명사가 있으면 앞문장의 무엇을 나타내는지 쓰세요.\r\n■ 밑줄친 부분이 될 수 있는 첫번째 명사에 동그라미 표시하시고 그것의 특징에 대한 어구에 모두 빨간색 표시하세요\r\n■ 밑줄친 부분이 될 수 있는 두번째 명사에 세모 표시하시고 그것의 특징에 대한 어구에 모두 파란색 표시하세요.\r\n■ 48번 각 문항에 대한 것을 본문에 모두 밑줄 표시하시고 일치하지 않는 내용은 올바르게 고치세요.
4,2010,3,47,2010-03-47,[장문3],
3,2010,3,48,2010-03-48,[장문3],
3,2010,3,49,2010-03-49,[장문2],■ siblings에 해당하는 어구에 모두 빨간색 표시하세요.\r\n■ strangers에 해당하는 어구에 모두 파란색 표시하세요.
1,2010,3,50,2010-03-50,[장문2],
3,2010,6,18,2010-06-18,[지칭추론],■ this에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ this와 반대 개념에 해당하는 어구에 모두 빨간색 표시하세요.
4,2010,6,19,2010-06-19,[지칭추론],■ Mockingbirds에 해당하는 어구에 모두 파란색 표시하세요.\r\n■ Mockingbirds 말고 다른 어떤 명사가 They가 될 수 있는지 세모 표시하세요.
4,2010,6,20,2010-06-20,[목적],■ 위 글의 Palomar Observatory 소개에 해당하는 어구에 모두 파란색 표시하세요.
